06-25 16:08:38.695  6999  6999 W ClassMapper: No setter/field for name found on class com.example.tutronapp.Student (fields/setters are case sensitive!)
06-25 16:08:38.695  6999  6999 W ClassMapper: No setter/field for dismissed found on class com.example.tutronapp.Complaint
06-25 16:08:38.695  6999  6999 W ClassMapper: No setter/field for name found on class com.example.tutronapp.Tutor (fields/setters are case sensitive!)
06-25 16:08:38.696  6999  6999 W ClassMapper: No setter/field for name found on class com.example.tutronapp.Student (fields/setters are case sensitive!)
06-25 16:08:38.696  6999  6999 W ClassMapper: No setter/field for name found on class com.example.tutronapp.Tutor (fields/setters are case sensitive!)
06-25 16:08:38.696  6999  6999 W ClassMapper: No setter/field for name found on class com.example.tutronapp.Student (fields/setters are case sensitive!)
06-25 16:08:38.696  6999  6999 W ClassMapper: No setter/field for name found on class com.example.tutronapp.Tutor (fields/setters are case sensitive!)
06-25 16:08:38.697  6999  6999 W ClassMapper: No setter/field for name found on class com.example.tutronapp.Student (fields/setters are case sensitive!)
06-25 16:08:38.697  6999  6999 W ClassMapper: No setter/field for dismissed found on class com.example.tutronapp.Complaint
06-25 16:08:38.697  6999  6999 W ClassMapper: No setter/field for name found on class com.example.tutronapp.Tutor (fields/setters are case sensitive!)
06-25 16:08:38.697  6999  6999 W ClassMapper: No setter/field for name found on class com.example.tutronapp.Student (fields/setters are case sensitive!)
06-25 16:08:38.697  6999  6999 W ClassMapper: No setter/field for dismissed found on class com.example.tutronapp.Complaint
06-25 16:08:38.698  6999  6999 W ClassMapper: No setter/field for name found on class com.example.tutronapp.Tutor (fields/setters are case sensitive!)
06-25 16:08:38.698  6999  6999 W ClassMapper: No setter/field for name found on class com.example.tutronapp.Student (fields/setters are case sensitive!)
06-25 16:08:38.698  6999  6999 W ClassMapper: No setter/field for dismissed found on class com.example.tutronapp.Complaint
06-25 16:08:38.698  6999  6999 W ClassMapper: No setter/field for name found on class com.example.tutronapp.Tutor (fields/setters are case sensitive!)
06-25 16:08:38.698  6999  6999 W ClassMapper: No setter/field for name found on class com.example.tutronapp.Student (fields/setters are case sensitive!)
06-25 16:08:38.699  6999  6999 W ClassMapper: No setter/field for name found on class com.example.tutronapp.Tutor (fields/setters are case sensitive!)
06-25 16:08:38.699  6999  6999 W ClassMapper: No setter/field for name found on class com.example.tutronapp.Student (fields/setters are case sensitive!)
06-25 16:08:38.723   313   366 D goldfish-address-space: claimShared: Ask to claim region [0x3f528d000 0x3f6340000]
06-25 16:08:38.948   313   366 D goldfish-address-space: claimShared: Ask to claim region [0x3f10b3000 0x3f2166000]
06-25 16:08:39.015   313   313 D goldfish-address-space: claimShared: Ask to claim region [0x3f4000000 0x3f50b3000]
06-25 16:08:39.097   544   607 D ArtManagerInternalImpl: /data/misc/iorapd/com.example.tutronapp/1/com.example.tutronapp.ManageComplaintsActivity/compiled_traces/compiled_trace.pb doesn't exist
06-25 16:08:39.102   544   600 D EventSequenceValidator: Transition from ACTIVITY_LAUNCHED to ACTIVITY_FINISHED
06-25 16:08:39.103   544   607 I ActivityTaskManager: Displayed com.example.tutronapp/.ManageComplaintsActivity: +533ms
06-25 16:08:39.427  6999  7023 W FileTestStorage: Output properties is not supported.
06-25 16:08:39.427  6999  7023 I Tracing : Tracer added: class androidx.test.platform.tracing.AndroidXTracer
06-25 16:08:39.457  6999  7023 D EventInjectionStrategy: Creating injection strategy with input manager.
06-25 16:08:39.457  6999  7023 W ample.tutronap: Accessing hidden method Landroid/hardware/input/InputManager;->getInstance()Landroid/hardware/input/InputManager; (greylist, reflection, allowed)
06-25 16:08:39.459  6999  7023 W ample.tutronap: Accessing hidden method Landroid/hardware/input/InputManager;->injectInputEvent(Landroid/view/InputEvent;I)Z (greylist, reflection, allowed)
06-25 16:08:39.459  6999  7023 W ample.tutronap: Accessing hidden field Landroid/hardware/input/InputManager;->INJECT_INPUT_EVENT_MODE_WAIT_FOR_FINISH:I (greylist, reflection, allowed)
06-25 16:08:39.482  6999  7023 W ample.tutronap: Accessing hidden method Landroid/view/ViewConfiguration;->getDoubleTapMinTime()I (greylist, reflection, allowed)
06-25 16:08:39.491  6999  6999 W ample.tutronap: Accessing hidden method Landroid/os/MessageQueue;->next()Landroid/os/Message; (greylist, reflection, allowed)
06-25 16:08:39.491  6999  6999 W ample.tutronap: Accessing hidden field Landroid/os/MessageQueue;->mMessages:Landroid/os/Message; (greylist, reflection, allowed)
06-25 16:08:39.493  6999  6999 W ample.tutronap: Accessing hidden method Landroid/os/Message;->recycleUnchecked()V (greylist, reflection, allowed)
06-25 16:08:39.497  6999  6999 W ample.tutronap: Accessing hidden method Landroid/view/WindowManagerGlobal;->getInstance()Landroid/view/WindowManagerGlobal; (greylist, reflection, allowed)
06-25 16:08:39.497  6999  6999 W ample.tutronap: Accessing hidden field Landroid/view/WindowManagerGlobal;->mViews:Ljava/util/ArrayList; (greylist, reflection, allowed)
06-25 16:08:39.498  6999  6999 W ample.tutronap: Accessing hidden field Landroid/view/WindowManagerGlobal;->mParams:Ljava/util/ArrayList; (greylist, reflection, allowed)
06-25 16:08:39.504  6999  6999 I ViewInteraction: Performing 'actionOnItemAtPosition performing ViewAction: single click on item at position: 0' action on view view.getId() is <2131296637/com.example.tutronapp:id/recyclerViewComplaints>
06-25 16:08:39.570   544   965 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
06-25 16:08:39.572   544   965 I chatty  : uid=1000(system) Binder:544_B identical 2 lines
06-25 16:08:39.724   544   965 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
06-25 16:08:39.788  6999  7023 I TestRunner: finished: testComplaintListRecyclerView(com.example.tutronapp.ComplaintListTest)
